State,County,CountySubdivision,Total,China,DominicanRepublic,Brazil,India,Haiti,ElSalvado,Portugal,Vietnam,Guatemala,Canada
Massachusetts,Worcester County,Upton town,494,34,0,0,88,133,0,13,20,0,13
Massachusetts,Worcester County,Uxbridge town,668,49,0,16,98,0,0,38,0,0,37
Massachusetts,Worcester County,Warren town,170,0,0,0,0,0,0,0,0,0,0
Massachusetts,Worcester County,Webster town,1280,39,120,96,8,0,0,39,2,0,87
Massachusetts,Worcester County,Westborough town,5155,702,128,341,2161,0,0,0,50,120,118
Massachusetts,Worcester County,West Boylston town,490,40,1,48,8,0,0,0,29,0,22
Massachusetts,Worcester County,West Brookfield town,102,12,0,0,38,0,0,0,0,0,0
Massachusetts,Worcester County,Westminster town,225,0,0,0,0,0,0,0,0,0,51
Massachusetts,Worcester County,Winchendon town,386,12,0,0,15,9,0,0,0,0,65
Massachusetts,Worcester County,Worcester city,39416,2015,2890,2079,1287,381,1200,139,4215,288,313
